性別,年齡,悲傷- 患者反應1,悲傷- 患者反應2,悲傷- 患者反應3,悲傷- 這是由特別事件引起的嗎？,悲傷- 這是由最近或遙遠的事件（或多個事件）引起的嗎？,悲傷- 您最近是否嘗試過協議6，並發現由於舊事件而重新點燃了無法控制的情緒？,悲傷- 您最近是否嘗試過協議11，並發現由於舊事件而重新點燃了無法控制的情緒？,悲傷- 謝謝。現在我會問一些問題以了解您的情況。,悲傷- 您是否對某人有強烈的感受或表達以下任何情緒：,悲傷- 您認為您應該成為別人的救星嗎？,悲傷- 您是否將自己視為受害者，將自己的負面情緒歸咎於他人？,悲傷- 您覺得您在試圖控制某人嗎？,悲傷- 當出現問題時，您是否總是責怪和指責自己？,悲傷- 在之前的對話中，您是否考慮過其他提出的觀點？,悲傷- 您是否正在經歷個人危機（與親人相處有困難，例如與朋友鬧翻）？,憤怒- 患者反應1,憤怒- 患者反應2,憤怒- 患者反應3,憤怒- 這是由特別事件引起的嗎？,憤怒- 這是由最近或遙遠的事件（或多個事件）引起的嗎？,憤怒- 您最近是否嘗試過協議6，並發現由於舊事件而重新點燃了無法控制的情緒？,憤怒- 您最近是否嘗試過協議11，並發現由於舊事件而重新點燃了無法控制的情緒？,憤怒- 謝謝。現在我會問一些問題以了解您的情況。,憤怒- 您是否對某人有強烈的感受或表達以下任何情緒：,憤怒- 您認為您應該成為別人的救星嗎？,憤怒- 您是否將自己視為受害者，將自己的負面情緒歸咎於他人？,憤怒- 您覺得您在試圖控制某人嗎？,憤怒- 當出現問題時，您是否總是責怪和指責自己？,憤怒- 在之前的對話中，您是否考慮過其他提出的觀點？,憤怒- 您是否正在經歷個人危機（與親人相處有困難，例如與朋友鬧翻）？,焦慮- 患者反應1,焦慮- 患者反應2,焦慮- 患者反應3,焦慮- 這是由特別事件引起的嗎？,焦慮- 這是由最近或遙遠的事件（或多個事件）引起的嗎？,焦慮- 您最近是否嘗試過協議6，並發現由於舊事件而重新點燃了無法控制的情緒？,焦慮- 您最近是否嘗試過協議11，並發現由於舊事件而重新點燃了無法控制的情緒？,焦慮- 謝謝。現在我會問一些問題以了解您的情況。,焦慮- 您是否對某人有強烈的感受或表達以下任何情緒：,焦慮- 您認為您應該成為別人的救星嗎？,焦慮- 您是否將自己視為受害者，將自己的負面情緒歸咎於他人？,焦慮- 您覺得您在試圖控制某人嗎？,焦慮- 當出現問題時，您是否總是責怪和指責自己？,焦慮- 在之前的對話中，您是否考慮過其他提出的觀點？,焦慮- 您是否正在經歷個人危機（與親人相處有困難，例如與朋友鬧翻）？,快樂- 患者反應1,快樂- 患者反應2,快樂- 患者反應3,快樂- 那很好！讓我推荐一個您可以嘗試的協議。,所有情緒- 根據您所說的，我相信您正在感受{}。這個對嗎？,所有情緒- 我很抱歉。請從下面的情緒中選擇最能反映您感受的情緒：,所有情緒- 感謝您的參與。再見,所有情緒- 這是我的建議，請選擇您想嘗試的協議,所有情緒- 請現在嘗試通過此協議。完成後，按“繼續”,所有情緒- 採取此協議後，您感覺更好還是更糟？,所有情緒- 您想嘗試另一種協議嗎？ （病人感覺好多了）,所有情緒- 您想嘗試另一種協議嗎？ （病人感覺更糟）
男性,30-39,不是很好。,我感覺不太好。,我可以做得更好。,謝謝，我明白了。是不是有什麼特別的原因導致了這種情況？,原來如此。這是最近發生的還是之前發生的？,好的，謝謝你。您最近是否嘗試過協議6，它是否會導致重溫痛苦的情緒？,好的，謝謝你。你最近是否嘗試過協議11，它是否會導致重溫痛苦的情緒？,好的，謝謝你。請再問幾個問題，讓我更好地了解您的情況。,您是否會說您對他人強烈感受到或表達了以下任何情緒：,,,,,,,我很生氣,我有點生氣,我特別生氣,你一定很難有這種感覺。這是由特定的東西觸發的嗎？,好吧，我能理解。你有這種感覺是因為最近或更遠的過去嗎？,明白了，非常感謝分享。最近對協議6 的嘗試是否導致過去的情緒爆發？,明白了，非常感謝分享。最近對協議11 的嘗試是否導致過去的情緒爆發？,謝謝你讓我知道。我想通過一些問題來更好地理解這一點。,最近有沒有強烈地感受到或向任何人表達過這些情緒中的任何一種：,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
女性,40-49,我不厲害。,我真的很沮喪。,我心情有點低落。,有沒有發生什麼讓你難過的事情？,這個事件是最近發生的還是前一段時間發生的？,您是否嘗試過協議6，如果是，是否讓您感覺更糟？,您是否嘗試過協議11，如果是，是否讓您感覺更糟？,好的，謝謝，讓我們看看我們是否可以深入了解這個問題。如果你不介意的話，我會再問你幾個問題。,目前的情況是否讓您有以下感受：,,,,,,,我真的很生氣我的前任。,我的前任毀了我的生活，我瘋了。,我對我和我的前對象分手的方式感到非常沮喪。,有什麼特別的事情讓你有這種感覺嗎？,這是很久以前發生的，還是最近發生的？,您最近是否嘗試使用協議6，如果是，是否讓您的情緒激增？,您是否嘗試使用協議11，如果是，是否讓您的情緒激增？,感謝您與我分享這一點，讓我們再深入了解一下。我現在想再問你一些問題，以便我可以提供幫助。,這種困難的情況是否導致您有任何這些情緒和/或對它們採取行動：,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
男性,30-39,我感覺很糟糕，我想我今天失去了一個朋友。,我心情不好，我最好的朋友不會跟我說話。,我過得不好，我最喜歡說話的人甚至不再理我了。,是否有什麼特別的事情似乎引起了這種感覺？,我很抱歉聽到這個。是否有一些最近發生的事件可以作為造成這種情況的原因，或者是不久前發生的事件？,這是不幸的。你有沒有嘗試過協議6，它是否引發了你對這次事件的同樣困難的情緒？,這是不幸的。你有沒有嘗試過協議11，它是否引發了你對這次事件的同樣困難的情緒？,謝謝你，很抱歉你現在正在掙扎並想提供幫助。讓我們繼續討論下一個問題，並嘗試解決這種情況。,如果你還記得，你能告訴我你是否對另一個人有過以下強烈的情緒：,,,,,,,我不能忍受我的生活，顯然我的伴侶也不能，因為她已經走了。,我很生氣，我完全被我的前任甩了，而且被鬼魂化了。,我對我的前女友很生氣，我不敢相信我搞砸了我們的關係。,我很抱歉。有什麼特別讓你有這種感覺的嗎？,也許你能告訴我是最近發生的事情讓你有這種感覺，還是遙遠的事情？,您是否使用了協議6 來幫助您並且您的情緒是否失控？,您是否使用協議11 來提供幫助並且您的情緒是否失控？,我真的希望在我的幫助下你會感覺好些。讓我們深入了解一下這個問題的根源。,我知道這可能很難，但你能告訴我更多關於你的情緒嗎？我想知道您是否對另一個人有過以下情緒：,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
女性,40-49,我很沮喪，因為我男朋友和我分手了。,我只想哭，因為我的狗死了很難受。,我似乎再也感覺不到快樂了，因為我因失去工作而感到難過。,請告訴我這種感覺是否源於某個事件？,你會說這是最近或遙遠過去事件的結果嗎？,您是否注意到由於過去的事件，嘗試協議6（如果您嘗試過）是否有無法忍受的情緒？,您是否注意到由於最近發生的事件，嘗試協議11（如果您嘗試過）是否有無法忍受的情緒？,非常感謝你。我現在想通過問你一些額外的問題來更深入地了解你的困境。,您是否有強烈的衝動向他人表達以下情緒或自己強烈感受到這些情緒：,,,,,,,我很生氣，我的朋友和我男朋友調情，我不知道如何處理。,我不好，因為我很生氣，以至於我丈夫買了一輛昂貴的汽車，而且從來沒有和我說過這件事。他讓我如此沮喪。,糟糕的！我很生氣，因為我的鄰居說我的孩子是壞名聲，因為她因為他進入她的院子而生他的氣。我覺得她是個可笑的人！,謝謝，如果您能詳細說明一下您感到如此生氣的原因，我將不勝感激。是特定事件造成的嗎？,你能告訴我這個令人不安的事件是前一段時間發生的還是最近發生的？,你最近是否嘗試通過協議6 並發現它會從訪問過去的事件中引發負面情緒？,你最近有沒有嘗試過協議11，並覺得它會從訪問過去的事件中引發負面情緒？,非常感謝您的回复。我可以找到一些額外的信息來幫助我能夠充分理解您的擔憂嗎？,如果您經歷過以下任何情緒或想向另一個人表達這些情緒，請告訴我：,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
男性,50-59,糟糕，昨天我失去了一個親近的人。,真的很沮喪，我似乎無法開始任何事情。,有點差勁，真的。我似乎無法享受任何東西。,有什麼特別讓你有這種感覺的嗎？,我很遺憾聽到這個消息。這是最近發生的還是不久前發生的？,這是你執行協議6 的結果嗎？,這是你執行協議11 的結果嗎？,很抱歉讓您受到傷害，在我嘗試進一步調查時請耐心等待。我想再問你一些問題，這樣我才能更好地了解情況。,您是否對某人有過以下強烈感受，無論您是否告訴過他們：,,,,,,,太糟糕了- 我覺得我需要傷害某人。,就像一座即將噴發的火山。,我快瘋了，我不可忍受了。,沒關係，我是來幫忙的。有什麼特別讓你有這種感覺的嗎？,這是最近發生的，還是你想起了更遙遠的過去？,這些負面情緒是你嘗試協議6 引起的嗎？,這些負面情緒是否是您嘗試使用協議11 引起的？,謝謝分享，真的很有幫助。如果你同意的話，我想再問一些關於這個的問題。,您是否有以下任何強烈感受和/或您向某人表達過它們：,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
女性,18-24,我感覺不太好。我男朋友昨天和我分手了。,我感覺不太好。我的祖母上週去世了。,我感覺不太好。我丟了我最喜歡的玩具，我找不到了,我很抱歉。這是由特定事件引起的嗎？,我很抱歉聽到這個。我也可以問一下是不是由最近或遙遠的事件（或事件）引起的？,我很抱歉你正在經歷這個。您最近是否嘗試過協議6 並發現由於舊事件而重新點燃了無法控制的情緒？,我很抱歉你正在經歷這個。您最近是否嘗試過協議11 並發現由於最近的事件而重新點燃了無法控制的情緒？,感謝您與我分享這一點，我想以某種方式幫助您。現在我會問一些問題以了解您的情況。,我與你的情緒保持一致，我們會理解克服它。您是否對某人有強烈的感受或表達過以下任何一種情緒：,,,,,,,我不好，我的團隊被取消了資格，我和朋友打賭輸了100 美元，我真的很生氣。我有這種感覺是球隊的錯。,我不好！我被解雇了，我真的很生氣。我在工作中做的一切都是正確的，我有這種感覺是他們的錯。,我不好，我和父母吵架了，我離開了家，我很生氣。我有這種感覺是他們的錯。,有這種感覺沒關係。請問這是否是由特定事件引起的？,過這個就好了。這是由最近或遙遠的事件（或事件）引起的嗎？,我理解並且很抱歉發生這種情況。您最近是否嘗試過協議6 並發現由於舊事件而重新點燃了無法控制的情緒？,我理解並且很抱歉發生這種情況。您最近是否嘗試過協議11 並發現由於舊事件而重新點燃了無法控制的情緒？,我現在會問你幾個問題來了解你的情況。,我們有時會感覺到我們認為不好的情緒，但我們知道它們不好這一事實讓我們意識到，所以感受這些情緒是可以的，我們總有一天會感受到它們。您是否對某人有強烈的感受或表達過以下任何一種情緒：,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
男性,30-39,真的很傷心。我不能讓自己做任何事,我覺得很糟糕，自從我父親去世後，一切似乎都沒有任何意義。,我只是不明白起床的意義。沒有什麼感覺很好。,你覺得哪讓我覺得抱歉。這是由特定原因引起的嗎？,這是最近發生的，還是前一段時間發生的？,協議6 中的練習對某些人來說可能很困難，所以我想知道它們是否適合您。您是否嘗試過協議6 中的練習並發現它們很困難或有創傷？,協議11 中的練習對某些人來說可能很困難，所以我想知道它們是否適合您。您是否嘗試過協議11 中的練習並發現它們很困難或有創傷？,謝謝你告訴我。你介意我問你一些關於這些感受的問題嗎？,我想知道您是否強烈感受到或表達了以下任何情緒：,,,,,,,我感覺很糟糕，我剛剛得到了一些非常令人惱火的消息,今天太糟糕了，一切都出錯了。,明明我不好，我真的早傷害了自己,是不是發生了什麼特別的事情導致了這種情況？,這是最近發生的事件還是很久以前發生的遙遠事件？,請問，您是否嘗試過協議6 中的練習，這是否困難或痛苦？,請問，您是否嘗試過協議11 中的練習，這是否困難或痛苦？,謝謝你。我想更好地了解你的情況，需要問一些問題，可以嗎？,您是否認為您可能強烈表達或感受到以下任何情緒：,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
女性,40-49,我感到空虛和絕望。這次的疫情真的讓我很受傷。,我和我的伴侶吵架了，我真的很難過。我覺得是我的錯。,我不應對。我只是覺得我可以一直哭。,您是否覺得您目前的情緒可能是由特定事件或事件引起的？,非常感謝你讓我知道。你會說是最近或遙遠的事件（或事件）引起了這種情緒嗎？,感謝您與我分享這個，我知道這可能很困難。我想問你最近是否嘗試過協議6，如果是，你是否因此感到更加痛苦。,感謝您與我分享這個，我知道這可能很困難。我想問你最近是否嘗試過協議11，如果是，你是否因此感到更加痛苦。,感謝您與我分享您的感受，感謝您的信任。如果您不介意，我現在將問您幾個問題以更好地了解情況。,謝謝你，我想讓你知道，如果我們能夠理解它們並向它們學習，即使是負面情緒也可以幫助我們成長。您最近是否對您認識的任何人經歷過以下任何情緒：,,,,,,,我很生氣我的老闆在我的同事面前讓我難堪。,我只是一直覺得很生氣。老實說，我認為我應該得到比這更好的。,我損失了一大筆錢，我對自己很生氣。我想打自己。,你會說你現在正在經歷的這種感覺是由一個或多個特定事件引起的嗎？,謝謝你的回答，我可以聯繫。你會說這件事或讓你感到憤怒的事件發生在最近或遙遠的過去嗎？,謝謝你幫助我更好地理解。我想知道您最近是否嘗試過協議6，如果是，您是否發現它弊大於利？,謝謝你幫助我更好地理解。我還想知道您最近是否嘗試過協議11，如果是，您是否發現它弊大於利？,感謝您的分享，這是您正在體驗的一種完全正常且有效的情緒。現在，如果您不介意的話，我想再問您一些問題以更好地了解情況。,有時，我們可能會感受到我們並不引以為豪的情緒，但識別它們、接受它們並理解它們仍然很重要。請問您是否對另一個人有以下情緒：,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
女性,30-39,請放過我吧，我很痛苦。,今天簡直慘不忍睹。,我似乎無法擺脫這種低落的情緒。,感謝您與我分享您的情緒，我知道現在可能很難處理它們。為了我能更好地幫助你，你能告訴我具體的事件是否讓你有這種感覺嗎？,我明白了，謝謝。這個事件是最近的還是更遠的？不管怎樣，我希望這對你來說沒有太大的創傷。,請問您是否已經通過協議6並發現它帶回了困難的情緒？,請問您是否已經通過協議11並發現它帶回了困難的情緒？,謝謝分享，很抱歉你正在經歷這個。我只想再問一些問題，以便更好地了解您現在的感受。,謝謝你對我的信任，我現在想知道你最近在處理什麼樣的情緒。你能告訴我你是否有過以下任何一種情緒：,,,,,,,我再也受不了了。,我非常沮喪。,我似乎今天討厭所有人。,感謝您與我分享您的感受，儘管現在對您來說可能很困難。你認為你的感覺可能是由某些特定的事情引起的嗎？,我明白了，謝謝。這個或多個事件是遙遠的還是最近的？,我想了解協議6 是否適合您，因為它可能非常激烈。請問您最近是否嘗試過協議6，並發現這會帶回過去的負面情緒？,我想了解協議11 是否適合您，因為它可能非常激烈。請問您最近是否嘗試過協議11，並發現這會帶回過去的負面情緒？,很抱歉你現在必須處理這個問題。請讓我問你一些問題，以便我確定什麼是讓你感覺更好的最佳行動方案。,生活中有些時刻我們可能會體驗到我們並不引以為豪的情緒，但沒關係，只要我們準備好向它們學習。您是否會說您最近有以下情緒：,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
男性,40-49,由於封鎖，今天很傷心,我感覺不太好。,我今天感覺不太好,請問，有什麼具體原因嗎？,那件事是最近發生的，還是在你過去更遙遠？,你有沒有嘗試通過嘗試協議6 來回想那件事，如果是這樣，它是否帶回了困難的情緒？,你有沒有嘗試通過嘗試協議11 來回想那件事，如果是這樣，它是否會帶來困難的情緒？,謝謝你。我想問你一些更多的問題，可能有助於我理解。,我們有時可能會經歷一些我們可能會羞於承認的困難情緒，但它們是完全正常的，我們識別並處理它們很重要。你能告訴我你是否感受到或表達了以下任何一種情緒：,,,,,,,我對我的配偶生氣,我感覺很糟糕,我今天不好,你會說是什麼特定的事情讓你有這種感覺嗎？,這是最近發生的還是不久前發生的？,你是否已經嘗試通過執行協議6 重新思考這個問題，如果是這樣，它是否重新點燃了不舒服的情緒？,您是否已經嘗試通過執行協議11 重新思考這個問題，如果是這樣，它是否重新點燃了不舒服的情緒？,謝謝你。我想問你一些可能有助於我理解它的問題。,請問您是否感受到或表達了以下任何一種情緒：,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
男性,40-49,我受夠了。我認為我這個月無法應付所有賬單，而且我還在不停地工作。,自從我去年失業以來，我就有點沮喪了,不好，自從X離開後，我的情緒真的很低落。,這可能與特定事件有關嗎？,我明白。這與最近發生的事情還是更遙遠的事件有關？,您最近是否嘗試推進協議6，並且您重新審視的創傷是否變得難以處理？,您最近是否嘗試推進協議11，並且您重新審視的創傷是否變得難以處理？,謝謝，感謝您與我分享，我知道這可能很困難。我想再問幾個問題，以便更好地了解您的情況。,您認為以下任何情緒是否恰當地描述了您最近的感受或表達方式：,,,,,,,狂怒。每個人都在不停地打擾我工作。,我真的很生氣！今天是一件又一件的事情。,我很煩。每當我認為自己處於領先地位時，就會出現其他情況。,哦，那不好。是不是有什麼東西觸發了這種感覺？,很抱歉聽到這個。是最近發生的還是更遠的事件導致了這種情況？,當按照協議6 的要求嘗試重新審視您的創傷時，您是否發現自己在情緒上不舒服並且難以繼續？,當按照協議11 的要求嘗試重新審視您的創傷時，您是否發現自己情緒不舒服並且難以繼續？,感謝您的分享。我現在想問你幾個問題，讓我更好地了解你。,請試著坦率地看待你現在的情緒狀態。您是否認為您最近可能強烈感受到以下任何一種情緒：,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
女性,40-49,我今天感覺超級沮喪，似乎沒有任何意義了,坦率地說，我看不到生活中的任何意義了,我感到非常孤獨，我沒有朋友，也沒有男朋友,謝謝你讓我知道，我非常抱歉你有這種感覺。請問這種感覺是不是有什麼特殊原因？,我明白了，謝謝。您是說這件事發生在最近，還是您還記得更遙遠的過去？,謝謝你，也許協議6 可以幫助你處理這個事件，但是在我推薦它之前，我想確保你過去沒有遇到過糟糕的經歷。你是否已經嘗試過協議6，如果是，它是否激起了困難或創傷性的情緒？,謝謝你，也許協議11 可以幫助你處理這個事件，但是在我推薦它之前，我想確保你過去沒有遇到過糟糕的經歷。你是否已經嘗試過協議11，如果是，它是否激起了困難或創傷性的情緒？,感謝您對我敞開心扉，我理解這可能很困難，我感謝您的誠實。我想再問你幾個問題，以便我可以更好地幫助你，如果你沒問題的話。,我想問你關於你可能感受到的負面情緒；有時感覺到它們是完全正常的，但重要的是我們在它們接管我們的生活之前學會識別它們。回想一下您最近的過去，您是否有時對某人有以下任何情緒：,,,,,,,我很生氣我男朋友沒有告訴我真相。,我很生氣，因為我的貓毀了我最喜歡的地毯,我最近對我的工作感到非常沮喪。,謝謝你，我明白現在處理這種感覺有多難，希望我能幫助你感覺更好。你能告訴我是否有特定的事件讓你有這種感覺嗎？,我明白了，謝謝你告訴我。請問，這件事引起你的憤怒是遙遠的還是最近的？,謝謝你；我認為協議6 可以幫助你處理這個事件，但是有些人報告說這個協議可能相當激烈。你是否已經嘗試過協議6，如果是這樣，它是否激起了困難或創傷性的情緒？,謝謝你；我認為協議11 可以幫助你處理這個事件，但是有些人報告說這個協議可能相當激烈。你是否已經嘗試過協議11，如果是這樣，它是否激起了困難或創傷性的情緒？,謝謝你這麼耐心的回答，我知道這可能很困難。如果可以的話，我想再問一些問題，以便我可以建議最佳的行動方案。,謝謝，下一個問題是關於可能影響我們生活和人際關係的負面情緒，因此我們學會識別它們很重要。想想您最近的過去，您是否有時會對某人產生以下任何情緒：,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
女性,30-39,我真的很傷心很沮喪。,可怕。我只是很難過。,我希望我能快樂。,,,,,,,你覺得你需要一直陪在某個人身邊嗎？,你會說你傾向於將任何錯誤歸咎於他人嗎？,你會說你是那種總是需要掌控的人嗎？,我想知道你是否總是覺得是你造成了問題，即使這不是你的錯？,你認為自己是一個樂於傾聽他人觀點的人嗎？,您是否認為您可能正在經歷個人危機，不再與您的支持網絡保持聯繫？,我超級生氣,我真的很生氣。,我很生氣，我不知道如何改變它。,,,,,,,你會說你傾向於救人嗎？,一般來說，你覺得別人應該為你的問題負責嗎？,對自己完全誠實，你會說你總是覺得需要控制嗎？,我想知道當發生不好的事情時，您是否總是感到有責任感。,老實說，你認為你總是可以考慮替代你的觀點嗎？,最近有沒有發生什麼事情讓你覺得與你的朋友和家人的支持網絡疏遠了？,,,,,,,,,,,,,,,,,,,,,,,,,,,
女性,40-49,沒那麼好。我發現我的祖母活不長了。,我今天做的沒那麼好。他們正在推出我最喜歡的童年電視節目。,今天感覺有點無聊，因為我收到了一些關於一些財務問題的壞消息。,,,,,,,你覺得成為別人的救星是你的責任嗎？,明白了，謝謝您是否曾將自己視為負面情緒的受害者？,負面情緒會導致我們想要控制別人。你是否覺得自己是在試圖控製或支配他人？,當事情出錯時，您是否總是承擔責任或為發生的事情指責自己？,老實說，您是否嘗試過設身處地為他人著想或換個角度看待情況？,您的個人生活中是否有任何重大問題可能導致您感到悲傷？,我對我室友發生的事情很生氣,我對我的同事很生氣,我只是對生活很生氣，因為似乎沒有什麼事情適合我。,,,,,,,你覺得拯救他人或解決他們的問題是你的責任嗎？,你是否覺得別人應該為你的負面情緒負責？,謝謝你。由於您目前的情緒，您是否覺得需要控制他人？,在審視自己的處境時，您是否總是為正在發生的事情責備自己？,你有沒有從不同的角度看待生活中正在發生的事情？,在您的個人生活中是否有任何令人不安的事情，您是否與親近的人鬧翻了？,,,,,,,,,,,,,,,,,,,,,,,,,,,
男性,25-29,我今天感覺很噁心,我覺得我想吐,我現在很沮喪,,,,,,,你覺得你必須拯救別人嗎？,你有沒有覺得自己可能被別人害了？,你是否覺得你在試圖壓制某人？,你是否總是試圖為消極的情況和事件責備自己？,,你現在對生活事件有困難嗎？,我很不高興,我很生氣,我很煩,,,,,,,難道，也許，你試圖拯救某人？,你覺得別人對你的負面情緒負責嗎？,如果我問，你覺得你現在想要控制你生活中的某個人嗎？,你是否總是試圖批評自己？,您認為在您目前的情況下可能還有其他觀點可以考慮嗎？,由於與生活中的人爭吵，您是否正在經歷強烈的負面情緒？,,,,,,,,,,,,,,,,,,,,,,,,,,,
男性,30-39,不好，我的狗死了。,不好，我和媽媽吵架了。,很糟糕，我的女朋友甩了我。,,,,,,,你認為你應該拯救他人嗎？,你會說你是這種情況下的受害者嗎？你會因為這種感覺而責怪別人嗎？,你是否覺得你在試圖控制任何人，或者讓他們做你想讓他們做的事情？,如果出現問題，您是否總是覺得責備和指責總是落在自己身上？,當這些觀點被呈現給你時，你有沒有反思過其他觀點？,您是否在與親人相處時遇到任何困難？,我為今天發生的事情而生氣。,我對我伴侶的行為方式感到惱火。,太可怕了，我的壞爸爸像往常一樣打我,,,,,,,我非常抱歉你正在處理困難的情緒。也許你覺得你應該在你的生活中拯救別人？,您將自己視為受害者，還是將自己的感受歸咎於他人？,可能是你試圖控制某人嗎？,你會不會說每次出了問題你總是責備自己？,我很抱歉你現在正在經歷這種消極情緒。如果我問，請說實話，您是否會說在向您提出這些觀點時，您總是充分考慮其他人的觀點？,很抱歉聽到你的麻煩，我總是在這裡提供幫助。您現在是否在與任何親人相處時遇到困難？,,,,,,,,,,,,,,,,,,,,,,,,,,,
男性,50-59,我今天不怎麼好。,有點失落的感覺。,今天下午我有點沮喪。,,,,,,,你覺得在這種情況下你應該幫助別人嗎？,我想知道你對你在這個角色中的角色有什麼看法。在目前的情況下，您是否覺得自己是一個受害者，想要將自己的負面情緒轉移到其他人身上？,你覺得你有能力影響你生活中的其他人嗎？,當事情出錯時，你是否總是道歉並覺得是你的錯？,您可能已經討論過並被提出了各種需要考慮的觀點。當這些被呈現給您時，您是否真的考慮過其他觀點和觀點？,您最近是否與朋友或家人發生過任何導致這些負面情緒的重大問題？,老實說，我很生氣。,"我不是很好- 事實上, 我現在很生氣。",我現在不開心，有點不高興。,,,,,,,想想最近和不那麼近的事件，你有沒有想拯救別人的印象？,請問您現在是否覺得自己是受害者，並將自己的感受歸咎於他人？,有時，您是否喜歡想像自己掌權並控制他人？,當事情不對或出錯時，您是否有總是責怪和指責自己的傾向？,您過去可能進行過其他對話，在這些對話中您談到了其他觀點和觀點。您是否曾經在自己的生活中實踐過提供給您的任何建議或新觀點？,您最近是否與朋友或親人發生了個人問題，也許是鬧翻了，或者您有家庭問題嗎？,,,,,,,,,,,,,,,,,,,,,,,,,,,
女性,30-39,我之前哭過,我需要得到支持,傷心,,,,,,,你覺得你必須幫助別人嗎？,你有沒有覺得自己受到了任何形式的傷害？,你有沒有感覺你在控制別人，或者至少試圖控制？,如果出了什麼問題，你總是批評自己嗎？,您是否會說，您在之前的討論中可能會向您提出其他人的觀點和論點，您是否一直在仔細考慮？,如果我問你，你在個人事務上有什麼問題嗎？,那不是你的事,你知道這有什麼用嗎,你無權問這個問題,,,,,,,你是不是總覺得需要拯救生命中的人？,如果你不介意我問，我想知道你是否因為你正在經歷的這些負面情緒而責怪別人。,您認為您可能對其他人表現出控制性行為嗎？,你有沒有註意到你最近總是因為任何消極的情況而責備或指責自己？,如果可能的話，我想知道您是否覺得您一直對過去向您提出的不同觀點給予充分和仔細的考慮。,是否因為與朋友或親人的關係問題等令人痛苦的事件，您現在正在經歷個人危機？,,,,,,,,,,,,,,,,,,,,,,,,,,,
女性,30-39,我很難過,我希望我能改變,我覺得很懶,,,,,,,是不是覺得自己需要成為別人的救星？,你是否覺得其他人應該為你的消極情緒負責？,也許，您正在表現出某種控制行為？,當事情出錯時，你總是責備自己嗎？,想想或多或少最近的情況，你有沒有在談話中把自己放在別人的位置上？,你目前正在經歷什麼個人的事情嗎？,我對自己受到的對待感到非常沮喪。,今天真的對我造成了傷害，我已經筋疲力盡了。,我很生氣，我可以尖叫。,,,,,,,也許你想成為別人的救星？,是別人讓你覺得自己是受害者嗎？,你認為你可能會以一種控制的方式行事嗎？,當事情出錯時，您是否總是覺得自己應該受到責備？,你有沒有嘗試從別人的角度看問題，它有幫助嗎？,您是否正在經歷一些痛苦的事情，例如與您所愛的人鬧翻？,,,,,,,,,,,,,,,,,,,,,,,,,,,
男性,40-49,我今天有幾次哭泣。,天氣很糟糕，它讓我陷入了垃圾場。,我今天感到有點孤獨和悲傷。,,,,,,,你是否覺得你必須成為別人的救星？,你會說是別人造成了你的負面情緒嗎？,在內心深處，你是否有一種想要控制另一個人的感覺？,當事情對你不利時，你總是把責任推給自己嗎？你總是指責自己的錯誤嗎？,在之前的談話中，你是否能夠考慮其他人的觀點？,您是否覺得自己正面臨個人危機，例如，與家人、朋友或其他親人相處困難？,我只是在生氣。,我對我的工作很生氣。我感到被困在其中，這讓我感到沮喪。,我最好的朋友一直表現得像個混蛋，我對她很生氣。,,,,,,,您是否覺得有必要成為生活中其他人的救星？,您是否有受害的感覺，並感覺周圍的其他人讓您有這種感覺？,你身邊或生活中是否有人試圖控制？,你是否覺得總是你的錯？當事情沒有解決時，你會嚴厲地責備和指責自己嗎？,您是否會說，當其他觀點出現在之前的對話中時，您真的能夠考慮這些觀點嗎？,由於與親近的人的關係出現問題，您是否覺得自己正在經歷個人危機？,,,,,,,,,,,,,,,,,,,,,,,,,,,
男性,30-39,我還行，估計吧。,我感覺不太好。,我今天很難過。,,,,,,,你認為拯救別人是你的責任嗎？,你覺得別人應該為你的悲傷負責嗎？,你發現自己試圖控制別人的行為嗎？,當事情出錯時，你總是把責任歸咎於自己嗎？,在過去的談話中，你真的努力去了解別人的觀點嗎？,您是否正處於個人性質的創傷之中，例如與家人或朋友相處的困難？,我生氣了。,我很生氣。,我感到憤恨和惡意。,,,,,,,你是否覺得有責任拯救另一個人，也許是一個所愛的人？,請告訴我，你覺得你有這種感覺是別人的錯嗎？,您是否覺得自己想要或需要控制生活中其他人的行為？,當事情出錯時，你是否總是認為自己是罪魁禍首？,你有沒有想過別人在你的情況下會怎麼想或感受？,這種感覺是否給您和您所愛的人帶來了更大的問題？它是否導致了個人危機？,,,,,,,,,,,,,,,,,,,,,,,,,,,
